時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
89年	 1 	 6 	0	0	0	0	0	 10 	0
89年 1月	0	 1 	0	0	0	0	0	 1 	0
89年 2月	0	 1 	0	0	0	0	0	0	0
89年 3月	0	0	0	0	0	0	0	0	0
89年 4月	0	0	0	0	0	0	0	 2 	0
89年 5月	0	0	0	0	0	0	0	0	0
89年 6月	0	0	0	0	0	0	0	 1 	0
89年 7月	0	0	0	0	0	0	0	 1 	0
89年 8月	0	 1 	0	0	0	0	0	 1 	0
89年 9月	0	0	0	0	0	0	0	 1 	0
89年 10月	0	0	0	0	0	0	0	 3 	0
89年 11月	0	 3 	0	0	0	0	0	0	0
89年 12月	 1 	0	0	0	0	0	0	0	0
90年	0	 8 	 9 	0	0	0	0	 4 	0
90年 1月	0	 1 	0	0	0	0	0	 1 	0
90年 2月	0	 4 	0	0	0	0	0	0	0
90年 3月	0	0	0	0	0	0	0	0	0
90年 4月	0	 1 	0	0	0	0	0	 3 	0
90年 5月	0	 1 	0	0	0	0	0	0	0
90年 6月	0	0	0	0	0	0	0	0	0
90年 7月	0	0	0	0	0	0	0	0	0
90年 8月	0	0	0	0	0	0	0	0	0
90年 9月	0	0	0	0	0	0	0	0	0
90年 10月	0	0	0	0	0	0	0	0	0
90年 11月	0	0	 4 	0	0	0	0	0	0
90年 12月	0	 1 	 5 	0	0	0	0	0	0
91年	 2 	 2 	 106 	0	 1 	0	0	 1 	0
91年 1月	0	0	 22 	0	0	0	0	0	0
91年 2月	0	0	 2 	0	 1 	0	0	 1 	0
91年 3月	0	0	0	0	0	0	0	0	0
91年 4月	 1 	0	0	0	0	0	0	0	0
91年 5月	0	 2 	 5 	0	0	0	0	0	0
91年 6月	0	0	 21 	0	0	0	0	0	0
91年 7月	0	0	 56 	0	0	0	0	0	0
91年 8月	0	0	0	0	0	0	0	0	0
91年 9月	 1 	0	0	0	0	0	0	0	0
91年 10月	0	0	0	0	0	0	0	0	0
91年 11月	0	0	0	0	0	0	0	0	0
91年 12月	0	0	0	0	0	0	0	0	0
92年	 5 	0	0	 1 	 5 	 2 	0	 3 	0
92年 1月	 1 	0	0	0	0	0	0	0	0
92年 2月	0	0	0	0	0	 1 	0	0	0
92年 3月	0	0	0	 1 	 1 	0	0	 1 	0
92年 4月	 3 	0	0	0	0	0	0	 1 	0
92年 5月	 1 	0	0	0	 1 	0	0	 1 	0
92年 6月	0	0	0	0	 1 	0	0	0	0
92年 7月	0	0	0	0	0	0	0	0	0
92年 8月	0	0	0	0	0	0	0	0	0
92年 9月	0	0	0	0	 1 	 1 	0	0	0
92年 10月	0	0	0	0	0	0	0	0	0
92年 11月	0	0	0	0	0	0	0	0	0
92年 12月	0	0	0	0	 1 	0	0	0	0
93年	 5 	0	 9 	0	 1 	0	0	0	0
93年 1月	 1 	0	0	0	0	0	0	0	0
93年 2月	 1 	0	0	0	0	0	0	0	0
93年 3月	0	0	0	0	 1 	0	0	0	0
93年 4月	 1 	0	0	0	0	0	0	0	0
93年 5月	0	0	0	0	0	0	0	0	0
93年 6月	0	0	0	0	0	0	0	0	0
93年 7月	0	0	0	0	0	0	0	0	0
93年 8月	0	0	0	0	0	0	0	0	0
93年 9月	0	0	0	0	0	0	0	0	0
93年 10月	0	0	0	0	0	0	0	0	0
93年 11月	 1 	0	0	0	0	0	0	0	0
93年 12月	 1 	0	 9 	0	0	0	0	0	0
94年	 12 	 3 	 23 	0	 2 	0	0	0	 1 
94年 1月	 1 	 1 	 1 	0	0	0	0	0	0
94年 2月	0	0	0	0	0	0	0	0	0
94年 3月	0	0	0	0	0	0	0	0	0
94年 4月	 4 	0	0	0	0	0	0	0	0
94年 5月	0	0	0	0	0	0	0	0	0
94年 6月	 1 	 1 	0	0	0	0	0	0	0
94年 7月	 2 	 1 	0	0	0	0	0	0	0
94年 8月	 1 	0	0	0	 1 	0	0	0	0
94年 9月	 1 	0	0	0	 1 	0	0	0	0
94年 10月	 1 	0	 1 	0	0	0	0	0	0
94年 11月	 1 	0	 12 	0	0	0	0	0	0
94年 12月	0	0	 9 	0	0	0	0	0	 1 
95年	 9 	0	 8 	 1 	 1 	0	0	 2 	0
95年 1月	0	0	0	0	0	0	0	0	0
95年 2月	0	0	0	0	0	0	0	 1 	0
95年 3月	0	0	0	0	0	0	0	0	0
95年 4月	0	0	0	0	0	0	0	0	0
95年 5月	0	0	 1 	0	0	0	0	0	0
95年 6月	 2 	0	 4 	0	 1 	0	0	0	0
95年 7月	 1 	0	 2 	0	0	0	0	0	0
95年 8月	 2 	0	 1 	0	0	0	0	0	0
95年 9月	0	0	0	0	0	0	0	0	0
95年 10月	0	0	0	0	0	0	0	0	0
95年 11月	0	0	0	 1 	0	0	0	 1 	0
95年 12月	 4 	0	0	0	0	0	0	0	0
96年	 17 	 2 	0	0	 3 	 1 	0	 2 	0
96年 1月	0	0	0	0	0	0	0	0	0
96年 2月	 1 	0	0	0	0	0	0	 1 	0
96年 3月	 2 	0	0	0	0	0	0	0	0
96年 4月	 2 	0	0	0	0	0	0	0	0
96年 5月	 3 	0	0	0	0	0	0	0	0
96年 6月	 2 	0	0	0	 1 	0	0	0	0
96年 7月	0	 1 	0	0	0	0	0	0	0
96年 8月	 2 	0	0	0	 1 	0	0	0	0
96年 9月	 2 	 1 	0	0	0	0	0	0	0
96年 10月	 2 	0	0	0	0	0	0	0	0
96年 11月	 1 	0	0	0	 1 	0	0	0	0
96年 12月	0	0	0	0	0	 1 	0	 1 	0
97年	 23 	 2 	 5 	 2 	 1 	0	0	0	0
97年 1月	 3 	0	 5 	0	0	0	0	0	0
97年 2月	0	0	0	0	0	0	0	0	0
97年 3月	 2 	 1 	0	0	0	0	0	0	0
97年 4月	 1 	0	0	0	0	0	0	0	0
97年 5月	 4 	0	0	 1 	0	0	0	0	0
97年 6月	 3 	0	0	 1 	0	0	0	0	0
97年 7月	0	0	0	0	0	0	0	0	0
97年 8月	 3 	0	0	0	0	0	0	0	0
97年 9月	 2 	0	0	0	0	0	0	0	0
97年 10月	 3 	0	0	0	 1 	0	0	0	0
97年 11月	 1 	0	0	0	0	0	0	0	0
97年 12月	 1 	 1 	0	0	0	0	0	0	0
98年	 26 	 1 	 10 	 1 	 1 	0	 1 	0	0
98年 1月	 1 	0	0	0	0	0	0	0	0
98年 2月	 2 	0	0	0	0	0	0	0	0
98年 3月	 3 	0	0	0	 1 	0	0	0	0
98年 4月	 2 	0	0	 1 	0	0	0	0	0
98年 5月	 1 	0	0	0	0	0	0	0	0
98年 6月	0	0	0	0	0	0	0	0	0
98年 7月	 2 	0	0	0	0	0	0	0	0
98年 8月	 4 	 1 	0	0	0	0	0	0	0
98年 9月	 3 	0	0	0	0	0	0	0	0
98年 10月	 4 	0	0	0	0	0	 1 	0	0
98年 11月	 1 	0	 1 	0	0	0	0	0	0
98年 12月	 3 	0	 9 	0	0	0	0	0	0
99年	 42 	 3 	 19 	 2 	 2 	0	0	0	0
99年 1月	 5 	0	0	0	 1 	0	0	0	0
99年 2月	 3 	0	0	0	0	0	0	0	0
99年 3月	 3 	0	0	0	0	0	0	0	0
99年 4月	 2 	0	0	0	 1 	0	0	0	0
99年 5月	 4 	 1 	0	 1 	0	0	0	0	0
99年 6月	 4 	 2 	 18 	0	0	0	0	0	0
99年 7月	 6 	0	0	0	0	0	0	0	0
99年 8月	 4 	0	0	0	0	0	0	0	0
99年 9月	 1 	0	0	0	0	0	0	0	0
99年 10月	 4 	0	 1 	 1 	0	0	0	0	0
99年 11月	 4 	0	0	0	0	0	0	0	0
99年 12月	 2 	0	0	0	0	0	0	0	0
100年	 37 	0	0	 3 	0	0	0	0	0
100年 1月	 4 	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	 5 	0	0	0	0	0	0	0	0
100年 4月	 2 	0	0	0	0	0	0	0	0
100年 5月	 6 	0	0	0	0	0	0	0	0
100年 6月	 2 	0	0	0	0	0	0	0	0
100年 7月	 2 	0	0	 1 	0	0	0	0	0
100年 8月	 6 	0	0	0	0	0	0	0	0
100年 9月	 2 	0	0	 1 	0	0	0	0	0
100年 10月	 1 	0	0	 1 	0	0	0	0	0
100年 11月	 4 	0	0	0	0	0	0	0	0
100年 12月	 3 	0	0	0	0	0	0	0	0
101年	 33 	0	 2 	 2 	 2 	 1 	 1 	0	0
101年 1月	 2 	0	 1 	0	0	0	0	0	0
101年 2月	 1 	0	0	0	0	0	0	0	0
101年 3月	 2 	0	0	 1 	 1 	0	 1 	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	 8 	0	0	0	 1 	 1 	0	0	0
101年 6月	 1 	0	 1 	0	0	0	0	0	0
101年 7月	 4 	0	0	0	0	0	0	0	0
101年 8月	 4 	0	0	 1 	0	0	0	0	0
101年 9月	 8 	0	0	0	0	0	0	0	0
101年 10月	 1 	0	0	0	0	0	0	0	0
101年 11月	 2 	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	 31 	0	0	 2 	 1 	0	0	0	0
102年 1月	 1 	0	0	0	0	0	0	0	0
102年 2月	 1 	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	 1 	0	0	0	0
102年 4月	 3 	0	0	0	0	0	0	0	0
102年 5月	 5 	0	0	0	0	0	0	0	0
102年 6月	 1 	0	0	0	0	0	0	0	0
102年 7月	 6 	0	0	0	0	0	0	0	0
102年 8月	 3 	0	0	 1 	0	0	0	0	0
102年 9月	 3 	0	0	 1 	0	0	0	0	0
102年 10月	 2 	0	0	0	0	0	0	0	0
102年 11月	 4 	0	0	0	0	0	0	0	0
102年 12月	 2 	0	0	0	0	0	0	0	0
103年	 42 	0	 43 	 1 	 1 	0	0	0	0
103年 1月	 3 	0	0	0	0	0	0	0	0
103年 2月	 3 	0	0	0	0	0	0	0	0
103年 3月	 1 	0	0	 1 	 1 	0	0	0	0
103年 4月	 1 	0	0	0	0	0	0	0	0
103年 5月	 2 	0	0	0	0	0	0	0	0
103年 6月	 3 	0	0	0	0	0	0	0	0
103年 7月	 5 	0	0	0	0	0	0	0	0
103年 8月	 5 	0	0	0	0	0	0	0	0
