時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 81 	 58 	0	 321 	 257 	0	 71 	 12 	 21 
89年 1月	 9 	 4 	0	 33 	 24 	0	 9 	 1 	 3 
89年 2月	 2 	 4 	0	 36 	 10 	0	 8 	 1 	0
89年 3月	 5 	 2 	0	 42 	 8 	0	 6 	 3 	0
89年 4月	 9 	 3 	0	 17 	 12 	0	 4 	0	 5 
89年 5月	 11 	 3 	0	 33 	 13 	0	 1 	 2 	 3 
89年 6月	 2 	 7 	0	 17 	 29 	0	 5 	0	0
89年 7月	 7 	 5 	0	 33 	 23 	0	 9 	 1 	0
89年 8月	 11 	 9 	0	 26 	 39 	0	 9 	 1 	 2 
89年 9月	 7 	 10 	0	 26 	 27 	0	 1 	0	 1 
89年 10月	 2 	 5 	0	 20 	 17 	0	 10 	0	0
89年 11月	 7 	 5 	0	 20 	 41 	0	 5 	0	 2 
89年 12月	 9 	 1 	0	 18 	 14 	0	 4 	 3 	 5 
90年	 107 	 65 	0	 308 	 536 	0	 48 	 12 	 6 
90年 1月	 7 	 5 	0	 40 	 127 	0	 2 	0	 1 
90年 2月	 11 	 3 	0	 17 	 19 	0	0	0	0
90年 3月	 12 	 2 	0	 28 	 24 	0	 6 	0	0
90年 4月	 10 	 12 	0	 15 	 19 	0	 5 	 4 	0
90年 5月	 13 	 13 	0	 29 	 36 	0	 6 	 1 	 1 
90年 6月	 9 	 2 	0	 26 	 30 	0	 4 	 4 	0
90年 7月	 12 	 7 	0	 22 	 52 	0	 5 	 1 	 1 
90年 8月	 9 	 9 	0	 28 	 46 	0	 4 	0	 2 
90年 9月	 5 	 1 	0	 25 	 50 	0	0	 1 	 1 
90年 10月	 6 	 3 	0	 21 	 32 	0	 2 	0	0
90年 11月	 5 	 2 	0	 29 	 40 	0	 2 	 1 	0
90年 12月	 8 	 6 	0	 28 	 61 	0	 12 	0	0
91年	 84 	 42 	0	 394 	 529 	0	 48 	 17 	 11 
91年 1月	 9 	 4 	0	 17 	 23 	0	 6 	0	0
91年 2月	 5 	 2 	0	 70 	 92 	0	 6 	 2 	 1 
91年 3月	 6 	 1 	0	 23 	 22 	0	 1 	 1 	0
91年 4月	 6 	 4 	0	 21 	 11 	0	 2 	 1 	0
91年 5月	 12 	 6 	0	 45 	 23 	0	 1 	 1 	0
91年 6月	 7 	 6 	0	 20 	 38 	0	 3 	 3 	0
91年 7月	 12 	 1 	0	 25 	 61 	0	 3 	0	 2 
91年 8月	 6 	 6 	0	 31 	 74 	0	 3 	 1 	0
91年 9月	 7 	 2 	0	 23 	 51 	0	0	 4 	0
