時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	0	0	0	0	0	0	0	 1 	 15 
89年 1月	0	0	0	0	0	0	0	0	 1 
89年 2月	0	0	0	0	0	0	0	0	0
89年 3月	0	0	0	0	0	0	0	0	0
89年 4月	0	0	0	0	0	0	0	0	0
89年 5月	0	0	0	0	0	0	0	0	 1 
89年 6月	0	0	0	0	0	0	0	0	 1 
89年 7月	0	0	0	0	0	0	0	0	 1 
89年 8月	0	0	0	0	0	0	0	0	 3 
89年 9月	0	0	0	0	0	0	0	0	 2 
89年 10月	0	0	0	0	0	0	0	 1 	 1 
89年 11月	0	0	0	0	0	0	0	0	 2 
89年 12月	0	0	0	0	0	0	0	0	 3 
90年	 3 	0	0	0	0	 1 	0	 2 	 9 
90年 1月	 1 	0	0	0	0	0	0	0	 1 
90年 2月	0	0	0	0	0	0	0	 1 	 1 
90年 3月	0	0	0	0	0	0	0	0	0
90年 4月	 1 	0	0	0	0	0	0	0	0
90年 5月	0	0	0	0	0	0	0	 1 	 2 
90年 6月	0	0	0	0	0	0	0	0	 1 
90年 7月	0	0	0	0	0	0	0	0	 2 
90年 8月	 1 	0	0	0	0	0	0	0	0
90年 9月	0	0	0	0	0	0	0	0	 1 
90年 10月	0	0	0	0	0	0	0	0	0
90年 11月	0	0	0	0	0	0	0	0	0
90年 12月	0	0	0	0	0	 1 	0	0	 1 
91年	 1 	0	0	0	0	0	0	0	 39 
91年 1月	0	0	0	0	0	0	0	0	 1 
91年 2月	0	0	0	0	0	0	0	0	 1 
91年 3月	0	0	0	0	0	0	0	0	 9 
91年 4月	0	0	0	0	0	0	0	0	 3 
91年 5月	0	0	0	0	0	0	0	0	0
91年 6月	0	0	0	0	0	0	0	0	 5 
91年 7月	0	0	0	0	0	0	0	0	 5 
91年 8月	0	0	0	0	0	0	0	0	 3 
91年 9月	0	0	0	0	0	0	0	0	 5 
91年 10月	 1 	0	0	0	0	0	0	0	 3 
91年 11月	0	0	0	0	0	0	0	0	0
91年 12月	0	0	0	0	0	0	0	0	 4 
92年	 2 	0	 1 	 2 	0	0	0	 4 	 28 
92年 1月	0	0	0	0	0	0	0	0	 4 
92年 2月	0	0	0	0	0	0	0	0	 2 
92年 3月	0	0	0	0	0	0	0	0	 4 
92年 4月	0	0	 1 	0	0	0	0	0	 2 
92年 5月	0	0	0	0	0	0	0	 1 	0
92年 6月	0	0	0	0	0	0	0	0	 2 
92年 7月	0	0	0	0	0	0	0	0	 4 
92年 8月	0	0	0	0	0	0	0	 1 	 2 
92年 9月	0	0	0	0	0	0	0	0	0
92年 10月	 1 	0	0	0	0	0	0	 1 	 1 
92年 11月	 1 	0	0	0	0	0	0	 1 	 3 
92年 12月	0	0	0	 2 	0	0	0	0	 4 
93年	0	0	0	 2 	0	0	0	0	 28 
93年 1月	0	0	0	0	0	0	0	0	 2 
93年 2月	0	0	0	 1 	0	0	0	0	 4 
93年 3月	0	0	0	0	0	0	0	0	 3 
93年 4月	0	0	0	0	0	0	0	0	 3 
93年 5月	0	0	0	 1 	0	0	0	0	 4 
93年 6月	0	0	0	0	0	0	0	0	 1 
93年 7月	0	0	0	0	0	0	0	0	 2 
93年 8月	0	0	0	0	0	0	0	0	 2 
93年 9月	0	0	0	0	0	0	0	0	0
93年 10月	0	0	0	0	0	0	0	0	 3 
93年 11月	0	0	0	0	0	0	0	0	 3 
93年 12月	0	0	0	0	0	0	0	0	 1 
94年	0	0	0	 1 	0	 1 	0	 1 	 21 
94年 1月	0	0	0	0	0	0	0	0	 4 
94年 2月	0	0	0	0	0	0	0	0	 2 
94年 3月	0	0	0	 1 	0	0	0	0	 3 
94年 4月	0	0	0	0	0	0	0	 1 	 1 
94年 5月	0	0	0	0	0	0	0	0	 1 
94年 6月	0	0	0	0	0	0	0	0	 1 
94年 7月	0	0	0	0	0	0	0	0	 1 
94年 8月	0	0	0	0	0	0	0	0	 1 
94年 9月	0	0	0	0	0	0	0	0	 2 
94年 10月	0	0	0	0	0	 1 	0	0	 1 
94年 11月	0	0	0	0	0	0	0	0	 2 
94年 12月	0	0	0	0	0	0	0	0	 2 
95年	0	0	0	 2 	 1 	0	0	0	 11 
95年 1月	0	0	0	0	0	0	0	0	 1 
95年 2月	0	0	0	0	0	0	0	0	 1 
95年 3月	0	0	0	0	 1 	0	0	0	 3 
